Source,Target,Weight,Type
1331JurjiZaydan_ArmanusaMisriyya,1331JurjiZaydan_AhmadIbnTulun,5,undirected
1331JurjiZaydan_ArmanusaMisriyya,1331JurjiZaydan_AsirMutamahdi,35,undirected
1331JurjiZaydan_ArmanusaMisriyya,1331JurjiZaydan_CadhraQuraysh,11,undirected
1331JurjiZaydan_ArmanusaMisriyya,1331JurjiZaydan_CarusFarghana,10,undirected
1331JurjiZaydan_ArmanusaMisriyya,1331JurjiZaydan_FatatGhassan,1,undirected
1331JurjiZaydan_ArmanusaMisriyya,1331JurjiZaydan_GhadatKarbala,2,undirected
1331JurjiZaydan_ArmanusaMisriyya,1331JurjiZaydan_MamlukSharid,2,undirected
1331JurjiZaydan_AsirMutamahdi,1331JurjiZaydan_ArmanusaMisriyya,35,undirected
1331JurjiZaydan_AsirMutamahdi,1331JurjiZaydan_FatatGhassan,19,undirected
1331JurjiZaydan_AsirMutamahdi,1331JurjiZaydan_FathAndalus,14,undirected
1331JurjiZaydan_AsirMutamahdi,1331JurjiZaydan_GhadatKarbala,1,undirected
1331JurjiZaydan_AsirMutamahdi,1331JurjiZaydan_JihadMuhibbin,11,undirected
1331JurjiZaydan_AsirMutamahdi,1331JurjiZaydan_MamlukSharid,20,undirected
1331JurjiZaydan_CabbasaUkhtRashid,1331JurjiZaydan_AbuMuslimKhurasani,11,undirected
1331JurjiZaydan_CabbasaUkhtRashid,1331JurjiZaydan_AminWaMamun,5,undirected
1331JurjiZaydan_CabbasaUkhtRashid,1331JurjiZaydan_FathAndalus,35,undirected
1331JurjiZaydan_CabbasaUkhtRashid,1331JurjiZaydan_SharlWaCabdRahman,14,undirected
1331JurjiZaydan_CabdRahmanNasir,1331JurjiZaydan_AhmadIbnTulun,1,undirected
1331JurjiZaydan_CabdRahmanNasir,1331JurjiZaydan_FatatGhassan,9,undirected
1331JurjiZaydan_CabdRahmanNasir,1331JurjiZaydan_GhadatKarbala,6,undirected
1331JurjiZaydan_CabdRahmanNasir,1331JurjiZaydan_SalahDinAyyubi,20,undirected
1331JurjiZaydan_CabdRahmanNasir,1331JurjiZaydan_ShajaratDurr,3,undirected
1331JurjiZaydan_CadhraQuraysh,1331JurjiZaydan_AminWaMamun,17,undirected
1331JurjiZaydan_CadhraQuraysh,1331JurjiZaydan_ArmanusaMisriyya,11,undirected
1331JurjiZaydan_CadhraQuraysh,1331JurjiZaydan_GhadatKarbala,8,undirected
1331JurjiZaydan_CarusFarghana,1331JurjiZaydan_AbuMuslimKhurasani,15,undirected
1331JurjiZaydan_CarusFarghana,1331JurjiZaydan_AhmadIbnTulun,36,undirected
1331JurjiZaydan_CarusFarghana,1331JurjiZaydan_AminWaMamun,18,undirected
1331JurjiZaydan_CarusFarghana,1331JurjiZaydan_ArmanusaMisriyya,10,undirected
1331JurjiZaydan_CarusFarghana,1331JurjiZaydan_FatatGhassan,1,undirected
1331JurjiZaydan_FatatGhassan,1331JurjiZaydan_ArmanusaMisriyya,1,undirected
1331JurjiZaydan_FatatGhassan,1331JurjiZaydan_AsirMutamahdi,19,undirected
1331JurjiZaydan_FatatGhassan,1331JurjiZaydan_CabdRahmanNasir,9,undirected
1331JurjiZaydan_FatatGhassan,1331JurjiZaydan_CarusFarghana,1,undirected
1331JurjiZaydan_FatatGhassan,1331JurjiZaydan_GhadatKarbala,31,undirected
1331JurjiZaydan_FatatGhassan,1331JurjiZaydan_HajjajIbnYusuf,15,undirected
1331JurjiZaydan_FatatGhassan,1331JurjiZaydan_IstibdadMamalik,5,undirected
1331JurjiZaydan_FatatGhassan,1331JurjiZaydan_Ramadan17,5,undirected
1331JurjiZaydan_FatatQayruwan,1331JurjiZaydan_InqilabCuthmani,17,undirected
1331JurjiZaydan_FatatQayruwan,1331JurjiZaydan_SalahDinAyyubi,17,undirected
1331JurjiZaydan_FatatQayruwan,1331JurjiZaydan_ShajaratDurr,35,undirected
1331JurjiZaydan_FathAndalus,1331JurjiZaydan_AbuMuslimKhurasani,11,undirected
1331JurjiZaydan_FathAndalus,1331JurjiZaydan_AsirMutamahdi,14,undirected
1331JurjiZaydan_FathAndalus,1331JurjiZaydan_CabbasaUkhtRashid,35,undirected
1331JurjiZaydan_FathAndalus,1331JurjiZaydan_MamlukSharid,12,undirected
1331JurjiZaydan_FathAndalus,1331JurjiZaydan_SharlWaCabdRahman,21,undirected
1331JurjiZaydan_FathAndalus,1349JibranKhalilJibran_ArwahMutamarrida,6,undirected
1331JurjiZaydan_GhadatKarbala,1331JurjiZaydan_AminWaMamun,7,undirected
1331JurjiZaydan_GhadatKarbala,1331JurjiZaydan_ArmanusaMisriyya,2,undirected
1331JurjiZaydan_GhadatKarbala,1331JurjiZaydan_AsirMutamahdi,1,undirected
1331JurjiZaydan_GhadatKarbala,1331JurjiZaydan_CabdRahmanNasir,6,undirected
1331JurjiZaydan_GhadatKarbala,1331JurjiZaydan_CadhraQuraysh,8,undirected
1331JurjiZaydan_GhadatKarbala,1331JurjiZaydan_FatatGhassan,31,undirected
1331JurjiZaydan_GhadatKarbala,1331JurjiZaydan_HajjajIbnYusuf,34,undirected
1331JurjiZaydan_GhadatKarbala,1331JurjiZaydan_Ramadan17,16,undirected
1331JurjiZaydan_HajjajIbnYusuf,1331JurjiZaydan_AhmadIbnTulun,2,undirected
1331JurjiZaydan_HajjajIbnYusuf,1331JurjiZaydan_AminWaMamun,1,undirected
1331JurjiZaydan_HajjajIbnYusuf,1331JurjiZaydan_FatatGhassan,15,undirected
1331JurjiZaydan_HajjajIbnYusuf,1331JurjiZaydan_GhadatKarbala,34,undirected
1331JurjiZaydan_HajjajIbnYusuf,1331JurjiZaydan_IstibdadMamalik,1,undirected
1331JurjiZaydan_HajjajIbnYusuf,1331JurjiZaydan_JihadMuhibbin,3,undirected
1331JurjiZaydan_HajjajIbnYusuf,1331JurjiZaydan_Ramadan17,15,undirected
1331JurjiZaydan_InqilabCuthmani,1331JurjiZaydan_AbuMuslimKhurasani,18,undirected
1331JurjiZaydan_InqilabCuthmani,1331JurjiZaydan_AminWaMamun,1,undirected
1331JurjiZaydan_InqilabCuthmani,1331JurjiZaydan_FatatQayruwan,17,undirected
1331JurjiZaydan_InqilabCuthmani,1331JurjiZaydan_IstibdadMamalik,15,undirected
1331JurjiZaydan_InqilabCuthmani,1331JurjiZaydan_JihadMuhibbin,15,undirected
1331JurjiZaydan_InqilabCuthmani,1331JurjiZaydan_ShajaratDurr,13,undirected
1331JurjiZaydan_InqilabCuthmani,1331JurjiZaydan_SharlWaCabdRahman,5,undirected
1331JurjiZaydan_IstibdadMamalik,1331JurjiZaydan_AminWaMamun,2,undirected
1331JurjiZaydan_IstibdadMamalik,1331JurjiZaydan_FatatGhassan,5,undirected
1331JurjiZaydan_IstibdadMamalik,1331JurjiZaydan_HajjajIbnYusuf,1,undirected
1331JurjiZaydan_IstibdadMamalik,1331JurjiZaydan_InqilabCuthmani,15,undirected
1331JurjiZaydan_IstibdadMamalik,1331JurjiZaydan_JihadMuhibbin,15,undirected
1331JurjiZaydan_JihadMuhibbin,1331JurjiZaydan_AminWaMamun,5,undirected
1331JurjiZaydan_JihadMuhibbin,1331JurjiZaydan_AsirMutamahdi,11,undirected
1331JurjiZaydan_JihadMuhibbin,1331JurjiZaydan_HajjajIbnYusuf,3,undirected
1331JurjiZaydan_JihadMuhibbin,1331JurjiZaydan_InqilabCuthmani,15,undirected
1331JurjiZaydan_JihadMuhibbin,1331JurjiZaydan_IstibdadMamalik,15,undirected
1331JurjiZaydan_JihadMuhibbin,1375MuhammadHusaynHaykal_QisasMisriyya,5,undirected
1331JurjiZaydan_MamlukSharid,1331JurjiZaydan_ArmanusaMisriyya,2,undirected
1331JurjiZaydan_MamlukSharid,1331JurjiZaydan_AsirMutamahdi,20,undirected
1331JurjiZaydan_MamlukSharid,1331JurjiZaydan_FathAndalus,12,undirected
1331JurjiZaydan_MamlukSharid,1331JurjiZaydan_ShajaratDurr,4,undirected
1331JurjiZaydan_Ramadan17,1331JurjiZaydan_AbuMuslimKhurasani,3,undirected
1331JurjiZaydan_Ramadan17,1331JurjiZaydan_AminWaMamun,2,undirected
1331JurjiZaydan_Ramadan17,1331JurjiZaydan_FatatGhassan,5,undirected
1331JurjiZaydan_Ramadan17,1331JurjiZaydan_GhadatKarbala,16,undirected
1331JurjiZaydan_Ramadan17,1331JurjiZaydan_HajjajIbnYusuf,15,undirected
1331JurjiZaydan_SalahDinAyyubi,1331JurjiZaydan_AbuMuslimKhurasani,5,undirected
1331JurjiZaydan_SalahDinAyyubi,1331JurjiZaydan_CabdRahmanNasir,20,undirected
1331JurjiZaydan_SalahDinAyyubi,1331JurjiZaydan_FatatQayruwan,17,undirected
1331JurjiZaydan_SalahDinAyyubi,1331JurjiZaydan_ShajaratDurr,31,undirected
1331JurjiZaydan_SalahDinAyyubi,1342MustafaLutfiManfaluti_Shacir,6,undirected
1331JurjiZaydan_ShajaratDurr,1331JurjiZaydan_AhmadIbnTulun,4,undirected
1331JurjiZaydan_ShajaratDurr,1331JurjiZaydan_CabdRahmanNasir,3,undirected
1331JurjiZaydan_ShajaratDurr,1331JurjiZaydan_FatatQayruwan,35,undirected
1331JurjiZaydan_ShajaratDurr,1331JurjiZaydan_InqilabCuthmani,13,undirected
1331JurjiZaydan_ShajaratDurr,1331JurjiZaydan_MamlukSharid,4,undirected
1331JurjiZaydan_ShajaratDurr,1331JurjiZaydan_SalahDinAyyubi,31,undirected
1331JurjiZaydan_SharlWaCabdRahman,1331JurjiZaydan_AbuMuslimKhurasani,1,undirected
1331JurjiZaydan_SharlWaCabdRahman,1331JurjiZaydan_CabbasaUkhtRashid,14,undirected
1331JurjiZaydan_SharlWaCabdRahman,1331JurjiZaydan_FathAndalus,21,undirected
1331JurjiZaydan_SharlWaCabdRahman,1331JurjiZaydan_InqilabCuthmani,5,undirected
1342MustafaLutfiManfaluti_Cabarat,1342MustafaLutfiManfaluti_Fadila,25,undirected
1342MustafaLutfiManfaluti_Cabarat,1342MustafaLutfiManfaluti_FiSabilTaj,18,undirected
1342MustafaLutfiManfaluti_Cabarat,1342MustafaLutfiManfaluti_Majdulin,36,undirected
1342MustafaLutfiManfaluti_Cabarat,1349JibranKhalilJibran_AjnihaMutakassira,6,undirected
1342MustafaLutfiManfaluti_Cabarat,1375MuhammadHusaynHaykal_Zaynab,1,undirected
1342MustafaLutfiManfaluti_Fadila,1342MustafaLutfiManfaluti_Cabarat,25,undirected
1342MustafaLutfiManfaluti_Fadila,1342MustafaLutfiManfaluti_FiSabilTaj,12,undirected
1342MustafaLutfiManfaluti_Fadila,1342MustafaLutfiManfaluti_Majdulin,23,undirected
1342MustafaLutfiManfaluti_Fadila,1349JibranKhalilJibran_AjnihaMutakassira,12,undirected
1342MustafaLutfiManfaluti_Fadila,1349JibranKhalilJibran_ArwahMutamarrida,12,undirected
1342MustafaLutfiManfaluti_Fadila,1375MuhammadHusaynHaykal_Zaynab,18,undirected
1342MustafaLutfiManfaluti_FiSabilTaj,1342MustafaLutfiManfaluti_Cabarat,18,undirected
1342MustafaLutfiManfaluti_FiSabilTaj,1342MustafaLutfiManfaluti_Fadila,12,undirected
1342MustafaLutfiManfaluti_FiSabilTaj,1342MustafaLutfiManfaluti_Majdulin,30,undirected
1342MustafaLutfiManfaluti_FiSabilTaj,1342MustafaLutfiManfaluti_Shacir,18,undirected
1342MustafaLutfiManfaluti_Majdulin,1342MustafaLutfiManfaluti_Cabarat,36,undirected
1342MustafaLutfiManfaluti_Majdulin,1342MustafaLutfiManfaluti_Fadila,23,undirected
1342MustafaLutfiManfaluti_Majdulin,1342MustafaLutfiManfaluti_FiSabilTaj,30,undirected
1342MustafaLutfiManfaluti_Shacir,1331JurjiZaydan_AhmadIbnTulun,12,undirected
1342MustafaLutfiManfaluti_Shacir,1331JurjiZaydan_SalahDinAyyubi,6,undirected
1342MustafaLutfiManfaluti_Shacir,1342MustafaLutfiManfaluti_FiSabilTaj,18,undirected
1349JibranKhalilJibran_AjnihaMutakassira,1342MustafaLutfiManfaluti_Cabarat,6,undirected
1349JibranKhalilJibran_AjnihaMutakassira,1342MustafaLutfiManfaluti_Fadila,12,undirected
1349JibranKhalilJibran_AjnihaMutakassira,1349JibranKhalilJibran_ArwahMutamarrida,36,undirected
1349JibranKhalilJibran_ArwahMutamarrida,1331JurjiZaydan_FathAndalus,6,undirected
1349JibranKhalilJibran_ArwahMutamarrida,1342MustafaLutfiManfaluti_Fadila,12,undirected
1349JibranKhalilJibran_ArwahMutamarrida,1349JibranKhalilJibran_AjnihaMutakassira,36,undirected
1368CaliJarim_FarisBaniHamdan,1368CaliJarim_FarisMulaththam,11,undirected
1368CaliJarim_FarisBaniHamdan,1368CaliJarim_GhadatRashid,36,undirected
1368CaliJarim_FarisBaniHamdan,1368CaliJarim_HatifMinAndalus,4,undirected
1368CaliJarim_FarisBaniHamdan,1368CaliJarim_KhatimatMataf,6,undirected
1368CaliJarim_FarisBaniHamdan,1368CaliJarim_SahmMasmum,12,undirected
1368CaliJarim_FarisBaniHamdan,1368CaliJarim_ShacirTamuh,10,undirected
1368CaliJarim_FarisMulaththam,1368CaliJarim_FarisBaniHamdan,11,undirected
1368CaliJarim_FarisMulaththam,1368CaliJarim_GhadatRashid,17,undirected
1368CaliJarim_FarisMulaththam,1368CaliJarim_HatifMinAndalus,3,undirected
1368CaliJarim_FarisMulaththam,1368CaliJarim_SahmMasmum,5,undirected
1368CaliJarim_GhadatRashid,1368CaliJarim_FarisBaniHamdan,36,undirected
1368CaliJarim_GhadatRashid,1368CaliJarim_FarisMulaththam,17,undirected
1368CaliJarim_GhadatRashid,1368CaliJarim_HatifMinAndalus,5,undirected
1368CaliJarim_GhadatRashid,1368CaliJarim_MarahWalid,1,undirected
1368CaliJarim_GhadatRashid,1368CaliJarim_SahmMasmum,16,undirected
1368CaliJarim_GhadatRashid,1368CaliJarim_SayyidatQusur,12,undirected
1368CaliJarim_GhadatRashid,1368CaliJarim_ShacirMalik,3,undirected
1368CaliJarim_GhadatRashid,1368CaliJarim_ShacirTamuh,11,undirected
1368CaliJarim_HatifMinAndalus,1368CaliJarim_FarisBaniHamdan,4,undirected
1368CaliJarim_HatifMinAndalus,1368CaliJarim_FarisMulaththam,3,undirected
1368CaliJarim_HatifMinAndalus,1368CaliJarim_GhadatRashid,5,undirected
1368CaliJarim_HatifMinAndalus,1368CaliJarim_KhatimatMataf,7,undirected
1368CaliJarim_HatifMinAndalus,1368CaliJarim_SahmMasmum,3,undirected
1368CaliJarim_HatifMinAndalus,1368CaliJarim_SayyidatQusur,10,undirected
1368CaliJarim_HatifMinAndalus,1368CaliJarim_ShacirMalik,26,undirected
1368CaliJarim_HatifMinAndalus,1368CaliJarim_ShacirTamuh,4,undirected
1368CaliJarim_KhatimatMataf,1368CaliJarim_FarisBaniHamdan,6,undirected
1368CaliJarim_KhatimatMataf,1368CaliJarim_HatifMinAndalus,7,undirected
1368CaliJarim_KhatimatMataf,1368CaliJarim_MarahWalid,17,undirected
1368CaliJarim_KhatimatMataf,1368CaliJarim_SayyidatQusur,36,undirected
1368CaliJarim_KhatimatMataf,1368CaliJarim_ShacirTamuh,28,undirected
1368CaliJarim_MarahWalid,1368CaliJarim_GhadatRashid,1,undirected
1368CaliJarim_MarahWalid,1368CaliJarim_KhatimatMataf,17,undirected
1368CaliJarim_MarahWalid,1368CaliJarim_SayyidatQusur,30,undirected
1368CaliJarim_MarahWalid,1368CaliJarim_ShacirMalik,5,undirected
1368CaliJarim_MarahWalid,1368CaliJarim_ShacirTamuh,5,undirected
1368CaliJarim_SahmMasmum,1368CaliJarim_FarisBaniHamdan,12,undirected
1368CaliJarim_SahmMasmum,1368CaliJarim_FarisMulaththam,5,undirected
1368CaliJarim_SahmMasmum,1368CaliJarim_GhadatRashid,16,undirected
1368CaliJarim_SahmMasmum,1368CaliJarim_HatifMinAndalus,3,undirected
1368CaliJarim_SahmMasmum,1368CaliJarim_SayyidatQusur,5,undirected
1368CaliJarim_SayyidatQusur,1368CaliJarim_GhadatRashid,12,undirected
1368CaliJarim_SayyidatQusur,1368CaliJarim_HatifMinAndalus,10,undirected
1368CaliJarim_SayyidatQusur,1368CaliJarim_KhatimatMataf,36,undirected
1368CaliJarim_SayyidatQusur,1368CaliJarim_MarahWalid,30,undirected
1368CaliJarim_SayyidatQusur,1368CaliJarim_SahmMasmum,5,undirected
1368CaliJarim_SayyidatQusur,1368CaliJarim_ShacirMalik,17,undirected
1368CaliJarim_SayyidatQusur,1368CaliJarim_ShacirTamuh,15,undirected
1368CaliJarim_ShacirMalik,1368CaliJarim_GhadatRashid,3,undirected
1368CaliJarim_ShacirMalik,1368CaliJarim_HatifMinAndalus,26,undirected
1368CaliJarim_ShacirMalik,1368CaliJarim_MarahWalid,5,undirected
1368CaliJarim_ShacirMalik,1368CaliJarim_SayyidatQusur,17,undirected
1368CaliJarim_ShacirTamuh,1368CaliJarim_FarisBaniHamdan,10,undirected
1368CaliJarim_ShacirTamuh,1368CaliJarim_GhadatRashid,11,undirected
1368CaliJarim_ShacirTamuh,1368CaliJarim_HatifMinAndalus,4,undirected
1368CaliJarim_ShacirTamuh,1368CaliJarim_KhatimatMataf,28,undirected
1368CaliJarim_ShacirTamuh,1368CaliJarim_MarahWalid,5,undirected
1368CaliJarim_ShacirTamuh,1368CaliJarim_SayyidatQusur,15,undirected
1368IbrahimCabdQadirMazini_CaMashi,1368IbrahimCabdQadirMazini_CawdIlaBad,18,undirected
1368IbrahimCabdQadirMazini_CaMashi,1368IbrahimCabdQadirMazini_FiTariq,36,undirected
1368IbrahimCabdQadirMazini_CaMashi,1368IbrahimCabdQadirMazini_IbrahimKatib,2,undirected
1368IbrahimCabdQadirMazini_CaMashi,1368IbrahimCabdQadirMazini_IbrahimThani,14,undirected
1368IbrahimCabdQadirMazini_CaMashi,1368IbrahimCabdQadirMazini_ThalathatRijalWaImraa,23,undirected
1368IbrahimCabdQadirMazini_CawdIlaBad,1368IbrahimCabdQadirMazini_CaMashi,18,undirected
1368IbrahimCabdQadirMazini_CawdIlaBad,1368IbrahimCabdQadirMazini_FiTariq,7,undirected
1368IbrahimCabdQadirMazini_CawdIlaBad,1368IbrahimCabdQadirMazini_ThalathatRijalWaImraa,11,undirected
1368IbrahimCabdQadirMazini_FiTariq,1368IbrahimCabdQadirMazini_CaMashi,36,undirected
1368IbrahimCabdQadirMazini_FiTariq,1368IbrahimCabdQadirMazini_CawdIlaBad,7,undirected
1368IbrahimCabdQadirMazini_FiTariq,1368IbrahimCabdQadirMazini_IbrahimKatib,30,undirected
1368IbrahimCabdQadirMazini_FiTariq,1368IbrahimCabdQadirMazini_IbrahimThani,17,undirected
1368IbrahimCabdQadirMazini_FiTariq,1368IbrahimCabdQadirMazini_ThalathatRijalWaImraa,6,undirected
1368IbrahimCabdQadirMazini_FiTariq,1373NiqulaHaddad_AsrarMisr,2,undirected
1368IbrahimCabdQadirMazini_IbrahimKatib,1368IbrahimCabdQadirMazini_CaMashi,2,undirected
1368IbrahimCabdQadirMazini_IbrahimKatib,1368IbrahimCabdQadirMazini_FiTariq,30,undirected
1368IbrahimCabdQadirMazini_IbrahimKatib,1368IbrahimCabdQadirMazini_IbrahimThani,11,undirected
1368IbrahimCabdQadirMazini_IbrahimKatib,1368IbrahimCabdQadirMazini_ThalathatRijalWaImraa,5,undirected
1368IbrahimCabdQadirMazini_IbrahimThani,1368IbrahimCabdQadirMazini_CaMashi,14,undirected
1368IbrahimCabdQadirMazini_IbrahimThani,1368IbrahimCabdQadirMazini_FiTariq,17,undirected
1368IbrahimCabdQadirMazini_IbrahimThani,1368IbrahimCabdQadirMazini_IbrahimKatib,11,undirected
1368IbrahimCabdQadirMazini_IbrahimThani,1368IbrahimCabdQadirMazini_ThalathatRijalWaImraa,36,undirected
1368IbrahimCabdQadirMazini_ThalathatRijalWaImraa,1368IbrahimCabdQadirMazini_CaMashi,23,undirected
1368IbrahimCabdQadirMazini_ThalathatRijalWaImraa,1368IbrahimCabdQadirMazini_CawdIlaBad,11,undirected
1368IbrahimCabdQadirMazini_ThalathatRijalWaImraa,1368IbrahimCabdQadirMazini_FiTariq,6,undirected
1368IbrahimCabdQadirMazini_ThalathatRijalWaImraa,1368IbrahimCabdQadirMazini_IbrahimKatib,5,undirected
1368IbrahimCabdQadirMazini_ThalathatRijalWaImraa,1368IbrahimCabdQadirMazini_IbrahimThani,36,undirected
1373NiqulaHaddad_AdamJadid,1373NiqulaHaddad_AsrarMisr,4,undirected
1373NiqulaHaddad_AdamJadid,1373NiqulaHaddad_FatinatImbaratur,16,undirected
1373NiqulaHaddad_AdamJadid,1373NiqulaHaddad_HukarMuhtalAmrikiCaziz,30,undirected
1373NiqulaHaddad_AdamJadid,1373NiqulaHaddad_ThawraFiJahannam,1,undirected
1373NiqulaHaddad_AdamJadid,1373NiqulaHaddad_WadacanAyyuhaMashriq,30,undirected
1373NiqulaHaddad_AsrarMisr,1368IbrahimCabdQadirMazini_FiTariq,2,undirected
1373NiqulaHaddad_AsrarMisr,1373NiqulaHaddad_AdamJadid,4,undirected
1373NiqulaHaddad_AsrarMisr,1373NiqulaHaddad_HaqibaZarqa,19,undirected
1373NiqulaHaddad_AsrarMisr,1373NiqulaHaddad_HawaJadida,31,undirected
1373NiqulaHaddad_AsrarMisr,1373NiqulaHaddad_HukarMuhtalAmrikiCaziz,4,undirected
1373NiqulaHaddad_AsrarMisr,1373NiqulaHaddad_ThawraFiJahannam,1,undirected
1373NiqulaHaddad_AsrarMisr,1373NiqulaHaddad_WadacanAyyuhaMashriq,2,undirected
1373NiqulaHaddad_DawlatSayyidatFiMamlakatNisa,1373NiqulaHaddad_FatinatImbaratur,20,undirected
1373NiqulaHaddad_DawlatSayyidatFiMamlakatNisa,1373NiqulaHaddad_HaqibaZarqa,6,undirected
1373NiqulaHaddad_DawlatSayyidatFiMamlakatNisa,1373NiqulaHaddad_HawaJadida,1,undirected
1373NiqulaHaddad_DawlatSayyidatFiMamlakatNisa,1373NiqulaHaddad_ThawraFiJahannam,26,undirected
1373NiqulaHaddad_FatinatImbaratur,1373NiqulaHaddad_AdamJadid,16,undirected
1373NiqulaHaddad_FatinatImbaratur,1373NiqulaHaddad_DawlatSayyidatFiMamlakatNisa,20,undirected
1373NiqulaHaddad_FatinatImbaratur,1373NiqulaHaddad_HaqibaZarqa,15,undirected
1373NiqulaHaddad_FatinatImbaratur,1373NiqulaHaddad_HawaJadida,5,undirected
1373NiqulaHaddad_FatinatImbaratur,1373NiqulaHaddad_HukarMuhtalAmrikiCaziz,5,undirected
1373NiqulaHaddad_FatinatImbaratur,1373NiqulaHaddad_ThawraFiJahannam,18,undirected
1373NiqulaHaddad_FatinatImbaratur,1373NiqulaHaddad_WadacanAyyuhaMashriq,35,undirected
1373NiqulaHaddad_HaqibaZarqa,1373NiqulaHaddad_AsrarMisr,19,undirected
1373NiqulaHaddad_HaqibaZarqa,1373NiqulaHaddad_DawlatSayyidatFiMamlakatNisa,6,undirected
1373NiqulaHaddad_HaqibaZarqa,1373NiqulaHaddad_FatinatImbaratur,15,undirected
1373NiqulaHaddad_HaqibaZarqa,1373NiqulaHaddad_HawaJadida,32,undirected
1373NiqulaHaddad_HaqibaZarqa,1373NiqulaHaddad_ThawraFiJahannam,4,undirected
1373NiqulaHaddad_HaqibaZarqa,1373NiqulaHaddad_WadacanAyyuhaMashriq,4,undirected
1373NiqulaHaddad_HawaJadida,1373NiqulaHaddad_AsrarMisr,31,undirected
1373NiqulaHaddad_HawaJadida,1373NiqulaHaddad_DawlatSayyidatFiMamlakatNisa,1,undirected
1373NiqulaHaddad_HawaJadida,1373NiqulaHaddad_FatinatImbaratur,5,undirected
1373NiqulaHaddad_HawaJadida,1373NiqulaHaddad_HaqibaZarqa,32,undirected
1373NiqulaHaddad_HukarMuhtalAmrikiCaziz,1373NiqulaHaddad_AdamJadid,30,undirected
1373NiqulaHaddad_HukarMuhtalAmrikiCaziz,1373NiqulaHaddad_AsrarMisr,4,undirected
1373NiqulaHaddad_HukarMuhtalAmrikiCaziz,1373NiqulaHaddad_FatinatImbaratur,5,undirected
1373NiqulaHaddad_HukarMuhtalAmrikiCaziz,1373NiqulaHaddad_WadacanAyyuhaMashriq,13,undirected
1373NiqulaHaddad_ThawraFiJahannam,1373NiqulaHaddad_AdamJadid,1,undirected
1373NiqulaHaddad_ThawraFiJahannam,1373NiqulaHaddad_AsrarMisr,1,undirected
1373NiqulaHaddad_ThawraFiJahannam,1373NiqulaHaddad_DawlatSayyidatFiMamlakatNisa,26,undirected
1373NiqulaHaddad_ThawraFiJahannam,1373NiqulaHaddad_FatinatImbaratur,18,undirected
1373NiqulaHaddad_ThawraFiJahannam,1373NiqulaHaddad_HaqibaZarqa,4,undirected
1373NiqulaHaddad_WadacanAyyuhaMashriq,1373NiqulaHaddad_AdamJadid,30,undirected
1373NiqulaHaddad_WadacanAyyuhaMashriq,1373NiqulaHaddad_AsrarMisr,2,undirected
